date,sales,demand,spend_sms,spend_newspaper,spend_radio,spend_tv,spend_internet,grp_sms,grp_newspaper,grp_radio,grp_internet,grp_tv,cpi,cci,ppi,unit_price,pos_supply
2011-08-01,16413413.28,53841,520.5133,94.250187,725.8307,10008.0705,23495.907,15.114071428571426,148.68542857142856,85.42207142857144,223.54545714285715,843.1363714285715,102.5,107.6,102.7,361.02,45464
2011-08-08,17639437.2,50860,485.5282,94.167975,663.5818,9925.4094,18277.239999999998,15.2257,198.51299999999998,100.88312857142857,251.79221428571427,862.1428571428571,102.5,107.6,102.7,361.02,48860
2011-08-15,16361426.399999999,52242,434.5454,93.370571,603.6528,9759.1507,19930.714,49.94882857142857,409.86942857142856,130.77274285714287,267.2857285714286,1602.6103857142857,102.5,107.6,102.7,361.02,45320
2011-08-22,16462512.0,57022,427.63009999999997,92.60019199999999,563.511,9695.5549,26112.667,31.8063,392.0608571428571,113.47401428571428,249.0714142857143,1294.8311428571428,101.4,107.6,102.7,361.02,45600
2011-08-29,15531441.419999998,54269,420.207,93.52991,550.3651,9725.9136,27413.524,17.906842857142856,717.0772857142857,107.82467142857142,237.92855714285716,914.8766142857143,101.4,107.6,102.7,361.02,43021
2011-09-05,16387780.86,56719,432.7074,92.099411,567.5642,9605.175,30391.286,18.245571428571427,1142.373857142857,105.48052857142856,243.14934285714284,938.4545285714286,101.4,107.6,102.7,361.02,45393
2011-09-12,16708005.6,52663,380.00059999999996,88.97724099999999,527.2819,9221.6561,26245.809,32.526314285714285,1191.6915714285715,107.44157142857144,238.03247142857143,1048.4869999999999,101.4,107.6,102.7,361.02,46280
2011-09-19,16738692.299999999,52615,332.6998,80.262671,557.7597,8432.5726,30167.859000000004,54.906957142857145,1212.2201428571427,400.8441571428571,255.5065,1979.0844,101.4,107.6,102.7,361.02,46365
2011-09-26,12846535.68,46723,290.4728,74.121382,545.9878,7726.162200000001,28008.047,57.354699999999994,1204.6085714285714,111.46754285714285,261.5454571428571,943.1169,101.4,107.6,102.7,361.02,35584
2011-10-03,13603594.620000001,47384,308.1359,77.041795,563.5343,7999.0998,22452.974000000002,27.6993,639.2271285714286,249.02414285714283,582.7646,2070.785714285714,101.4,107.6,102.7,361.02,37681
2011-10-10,16163948.459999999,42158,288.2043,77.867592,538.1507,8049.6056,17934.552,23.271657142857144,208.02907142857143,136.47061428571428,311.1808571428572,1118.5194857142858,101.4,107.6,102.7,361.02,44773
2011-10-17,14033569.44,34308,416.9475,87.338784,640.3553,9090.8963,12365.392,16.019085714285715,93.688,125.00687142857143,317.3525142857143,1006.1883,101.4,107.6,102.7,361.02,38872
2011-10-24,14969333.28,33993,536.1826,93.118373,731.0635,9728.7639,4579.046,6.662599999999999,87.74171428571428,103.16234285714286,296.28569999999996,788.0324571428572,101.4,107.6,102.7,361.02,41464
2011-10-31,14715175.2,36936,509.4602,92.731707,711.3603,9818.472,4388.715,46.78348571428571,124.84957142857142,121.83115714285714,286.44804285714287,856.7337714285715,101.4,107.6,102.7,361.02,40760
2011-11-07,16830752.4,44257,501.2573,92.800052,694.0511,9806.763500000001,29891.666,25.55975714285714,135.04542857142857,116.18181428571428,286.93505714285715,1022.9091,101.4,107.6,102.7,361.02,46620
2011-11-14,24043932.0,60021,527.6318,95.193279,723.8677,10069.2847,20208.239,45.567714285714295,136.38185714285714,104.98049999999999,247.0649142857143,913.2857142857143,101.4,97.0,102.7,361.02,66600
2011-11-21,22326559.86,59573,519.2482,94.320666,720.7401,9947.083200000001,21743.05,19.676142857142857,136.44057142857145,84.15584285714286,223.7078,813.9091,101.4,97.0,102.7,361.02,61843
2011-11-28,17208740.34,52102,474.5133,93.738021,657.6473,9921.3665,19148.524999999998,16.81852857142857,246.27057142857143,106.16235714285713,255.19481428571427,911.8506428571428,101.4,97.0,102.7,361.02,47667
2011-12-05,17357841.599999998,52393,417.3963,92.881448,584.1751,9695.2346,19535.333,46.938357142857136,352.3604285714286,128.63637142857144,262.37662857142857,1705.454542857143,101.4,97.0,102.7,361.02,48080
2011-12-12,15572236.68,42449,438.1904,92.94859,570.431,9733.8844,28207.334000000003,28.108085714285714,468.3887142857143,111.74674285714286,247.03245714285714,1185.8116714285713,101.4,97.0,102.7,361.02,43134
2011-12-19,16025316.78,42562,423.2277,93.234615,546.6073,9695.9696,26832.667,22.361371428571427,817.3178571428572,107.77921428571427,238.4805142857143,883.9934857142858,101.4,97.0,100.4,361.02,44389
2011-12-26,20228311.619999997,56625,424.39369999999997,92.686601,562.4902,9615.0139,30569.095,13.791042857142857,1089.3048571428571,106.68832857142857,251.25322857142856,955.7597285714286,101.4,100.1,100.4,361.02,56031
2012-01-02,23731567.08,64179,387.1534,89.052398,539.6222,9273.5153,26710.286,44.1098,1145.4995714285715,124.62338571428572,247.59091428571426,1670.428557142857,101.4,100.1,100.4,361.1857142857143,65705
